Prot_num,Prot_name
Prot1,IL8
Prot2,VEGFA
Prot3,CD8A
Prot4,MCP3
Prot5,GDNF
Prot6,CDCP1
Prot7,CD244
Prot8,IL7
Prot9,OPG
Prot10,LAPTGFbeta1
Prot11,uPA
Prot12,IL6
Prot13,IL17C
Prot14,MCP1
Prot15,IL17A
Prot16,CXCL11
Prot17,AXIN1
Prot18,TRAIL
Prot19,CXCL9
Prot20,CST5
Prot21,OSM
Prot22,CXCL1
Prot23,CCL4
Prot24,CD6
Prot25,SCF
Prot26,IL18
Prot27,SLAMF1
Prot28,TGFalpha
Prot29,MCP4
Prot30,CCL11
Prot31,TNFSF14
Prot32,FGF23
Prot33,IL10RA
Prot34,FGF5
Prot35,MMP1
Prot36,LIFR
Prot37,FGF21
Prot38,CCL19
Prot39,IL15RA
Prot40,IL10RB
Prot41,IL18R1
Prot42,PDL1
Prot43,CXCL5
Prot44,TRANCE
Prot45,HGF
Prot46,IL12B
Prot47,MMP10
Prot48,IL10
Prot49,TNF
Prot50,CCL23
Prot51,CD5
Prot52,CCL3
Prot53,Flt3L
Prot54,CXCL6
Prot55,X4EBP1
Prot56,SIRT2
Prot57,CCL28
Prot58,DNER
Prot59,ENRAGE
Prot60,CD40
Prot61,IFNgamma
Prot62,FGF19
Prot63,MCP2
Prot64,CASP8
Prot65,CCL25
Prot66,CX3CL1
Prot67,TNFRSF9
Prot68,NTF3
Prot69,TWEAK
Prot70,CCL20
Prot71,ST1A1
Prot72,STAMBP
Prot73,ADA
Prot74,TNFB
Prot75,CSF1
