group,var,tTest_pvalue,MWUTest_pvalue,ANOVA_pvalue,KWTest_pvalue,ChisqTest_pvalue,FishersExactTest_pvalue
Group,Sex,,,,,0.000386858786323442,0.000196966629781964
Group,Age (year),0.928678387568481,0.780293525149074,0.934152272391501,0.776473566037203,,
Group,K-MMSE total score,2.93138337610419e-07,3.0606731044735e-06,2.70599412060709e-06,2.98690544914592e-06,,
Group,CDR,0.00194714965408258,0.00438410822543622,0.00274117404211067,0.00430668035989021,,
Group,NfL,0.00362381216773119,5.67360906232781e-05,0.0102051546869645,5.55494038562168e-05,,
Group,pTau181,0.225680759094519,0.0878878763004885,0.271953638645181,0.086947309760991,,
Group,Aβ40,0.236134930149328,0.363034727558387,0.246706425389976,0.36041838575068,,
Group,Aβ42,0.793862896512783,0.795583228569833,0.788013833815581,0.791666522039396,,
Group,Aβ42/Aβ40,0.380550654112063,0.11535708045962,0.396094392581724,0.114188553940591,,
